location_code,project_code
BGA627,other
BGA628,other
BGA629,other
BGA630,other
BGA631,other
BGA632,other
BGA633,other
BGA634,other
BGA635,other
BGA636,other
BGA637,other
BGA638,other
BGA639,other
BGA640,other
BGA641,other
BGA642,other
BGA643,other
BGA644,other
BGA645,other
BGA646,other
BGA647,other
BGA648,other
BGA649,other
BGA650,other
BGA651,other
BGA653,other
BGA654,other
BGA655,other
BGA656,other
BGA657,other
BGA658,other
BGA659,other
BGA660,other
BGA661,other
BGA662,other
BGA663,other
BGA664,other
BGA665,other
BGA666,other
BGA667,other
BGA668,other
BGA669,other
BGA670,other
BGA671,other
BGA672,other
BGA673,other
BGA674,other
BGA675,other
BGA676,other
BGA677,other
BGA678,other
BGA679,other
BGA680,other
BGA681,other
BGA682,other
BGA683,other
BGA684,other
BGA685,other
BGA686,other
BGA687,other
BGA688,other
BGA690,other
BGA691,other
BGA692,other
BGA693,other
BGA694,other
BGA695,other
BGA696,other
BGA697,other
BGA698,other
BGA699,other
BGA700,other
BGA701,other
BGA702,other
BGA703,other
BGA704,other
BGA705,other
BGA706,other
BGA708,other
BGA709,other
BGA710,other
BGA711,other
BGA712,other
BGA713,other
BGA714,other
BGA715,other
BGA716,other
BGA717,other
BGA718,other
BGA719,other
BGA720,other
BGA721,other
BGA722,other
BGA723,other
BGA724,other
BGA725,other
BGA726,other
BGA727,other
BGA728,other
BGA729,other
BGA730,other
BGA731,other
BGA732,other
BGA733,other
BGA734,other
BGA735,other
BGA736,other
BGA737,other
BGA738,other
BGA739,other
BGA740,other
BGA741,other
BGA742,other
BGA743,other
BGA744,other
BGA746,other
BGA747,other
BGA748,other
BGA749,other
BGA750,other
BGA751,other
BGA752,other
BGA753,other
BGA754,other
BGA755,other
BGA756,other
BGA759,other
BGA760,other
BGA761,other
BGA762,other
BGA763,other
BGA764,other
BGA765,other
BGA766,other
BGA767,other
BGA768,other
BGA769,other
BGA770,other
BGA771,other
BGA772,other
BGA773,other
BGA774,other
BGA775,other
BGA776,other
BGA777,other
BGA778,other
BGA779,other
BGA780,other
BGA781,other
BGA783,other
BGA784,other
BGA785,other
BGA786,other
BGA787,other
BGA788,other
BGA789,other
BGA790,other
BGA791,other
BGA792,other
BGA793,other
BGA794,other
BGA798,other
BGA799,other
BGA800,other
BGA801,other
BGA802,other
BGA803,other
BGA804,other
BGA805,other
BGA806,other
BGA807,other
BGA808,other
BGA809,other
BGA810,other
BGA811,other
BGA812,other
BGA813,other
BGA814,other
BGA815,other
BGA816,other
BGA817,other
BGA818,other
BGA820,other
BGA821,other
BGA822,other
BGA823,other
BGA824,other
BGA825,other
BGA826,other
BGA827,other
BGA829,other
BGA830,other
BGA831,other
BGA832,other
BGA833,other
BGA835,other
BGA836,other
BGA837,other
BGA838,other
BGA839,other
BGA840,other
BGA841,other
BGA842,other
BGA843,other
BGA844,other
BGA845,other
BGA850,other
BGA851,other
BGA852,other
BGA853,other
BGA854,other
BGA855,other
BGA856,other
BGA858,other
BGA859,other
BGA860,other
BGA861,other
BGA862,other
BGA863,other
BGA864,other
BGA865,other
BGA866,other
BGA867,other
BGA868,other
BGA869,other
BGA870,other
BGA871,other
BGA872,other
BGA873,other
BGA874,other
BGA875,other
BGA876,other
BGA877,other
BGA878,other
BGA879,other
BGA880,other
BGA881,other
BGA882,other
BGA883,other
BGA884,other
BGA885,other
BGA886,other
BGA887,other
BGA888,other
BGA889,other
BGA890,other
BGA891,other
BGA892,other
BGA893,other
BGA895,other
BGA896,other
BGA897,other
BGA898,other
BGA899,other
BGA900,other
BGA901,other
BGA902,other
BGA903,other
BGA904,other
BGA905,other
BGA906,other
BGA907,other
BGA908,other
BGA909,other
BGA910,other
BGA911,other
BGA912,other
BGA914,other
BGA915,other
BGA916,other
BGA917,other
BGA918,other
BGA919,other
BGA920,other
BGA921,other
BGA922,other
BGA923,other
BGA924,other
BGA925,other
BGA926,other
BGA927,other
BGA928,other
BGA929,other
BGA930,other
BGA931,other
BGA932,other
BGA933,other
BGA934,other
BGA935,other
BGA936,other
BGA937,other
BGA938,other
BGA939,other
